"customer_id","first_name","last_name","email","active","payment_id","staff_id","rental_id","amount","date_of_payment","time_of_payment"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,1,1,76,2.99,2005-05-25,"11:30:37"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,2,1,573,0.99,2005-05-28,"10:35:23"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,3,1,1185,5.99,2005-06-15,"00:54:12"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,4,2,1422,0.99,2005-06-15,"18:02:53"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,5,2,1476,9.99,2005-06-15,"21:08:46"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,6,1,1725,4.99,2005-06-16,"15:18:57"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,7,1,2308,4.99,2005-06-18,"08:41:48"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,8,2,2363,0.99,2005-06-18,"13:33:59"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,9,1,3284,3.99,2005-06-21,"06:24:45"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,10,2,4526,5.99,2005-07-08,"03:17:05"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,11,1,4611,5.99,2005-07-08,"07:33:56"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,12,1,5244,4.99,2005-07-09,"13:24:07"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,13,1,5326,4.99,2005-07-09,"16:38:01"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,14,1,6163,7.99,2005-07-11,"10:13:46"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,15,2,7273,2.99,2005-07-27,"11:31:22"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,16,1,7841,4.99,2005-07-28,"09:04:45"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,17,2,8033,4.99,2005-07-28,"16:18:23"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,18,1,8074,0.99,2005-07-28,"17:33:39"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,19,2,8116,0.99,2005-07-28,"19:20:07"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,20,2,8326,2.99,2005-07-29,"03:58:49"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,21,2,9571,2.99,2005-07-31,"02:42:18"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,22,2,10437,4.99,2005-08-01,"08:51:04"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,23,2,11299,3.99,2005-08-02,"15:36:52"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,24,1,11367,0.99,2005-08-02,"18:01:38"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,25,2,11824,4.99,2005-08-17,"12:37:54"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,26,1,12250,0.99,2005-08-18,"03:57:29"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,27,2,13068,0.99,2005-08-19,"09:55:16"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,28,2,13176,2.99,2005-08-19,"13:56:54"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,29,1,14762,0.99,2005-08-21,"23:33:57"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,30,1,14825,1.99,2005-08-22,"01:27:57"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,31,2,15298,2.99,2005-08-22,"19:41:37"
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,32,1,15315,5.99,2005-08-22,"20:03:46"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,33,1,320,4.99,2005-05-27,"00:09:24"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,34,1,2128,2.99,2005-06-17,"20:54:58"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,35,1,5636,2.99,2005-07-10,"06:31:24"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,36,1,5755,6.99,2005-07-10,"12:38:56"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,37,2,7346,4.99,2005-07-27,"14:30:42"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,38,1,7376,5.99,2005-07-27,"15:23:02"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,39,2,7459,5.99,2005-07-27,"18:40:20"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,40,2,8230,5.99,2005-07-29,"00:12:59"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,41,1,8598,2.99,2005-07-29,"12:56:59"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,42,2,8705,5.99,2005-07-29,"17:14:29"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,43,1,9031,4.99,2005-07-30,"06:06:10"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,44,2,9236,10.99,2005-07-30,"13:47:43"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,45,2,9248,0.99,2005-07-30,"14:14:11"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,46,2,9296,6.99,2005-07-30,"16:21:13"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,47,2,9465,6.99,2005-07-30,"22:39:53"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,48,1,10136,2.99,2005-07-31,"21:58:56"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,49,1,10466,0.99,2005-08-01,"09:45:26"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,50,1,10918,0.99,2005-08-02,"02:10:56"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,51,1,11087,5.99,2005-08-02,"07:41:41"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,52,1,11177,6.99,2005-08-02,"10:43:48"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,53,2,11256,2.99,2005-08-02,"13:44:53"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,54,1,11614,2.99,2005-08-17,"03:52:18"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,55,1,12963,2.99,2005-08-19,"06:26:04"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,56,1,14475,4.99,2005-08-21,"13:24:32"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,57,2,14743,5.99,2005-08-21,"22:41:56"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,58,2,15145,4.99,2005-08-22,"13:53:04"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,59,2,15907,4.99,2005-08-23,"17:39:35"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,60,1,435,1.99,2005-05-27,"17:17:09"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,61,1,830,2.99,2005-05-29,"22:43:55"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,62,1,1546,8.99,2005-06-16,"01:34:05"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,63,1,1726,6.99,2005-06-16,"15:19:10"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,64,2,1911,6.99,2005-06-17,"05:15:15"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,65,1,2628,2.99,2005-06-19,"08:34:53"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,66,1,4180,4.99,2005-07-07,"10:23:25"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,67,1,4725,4.99,2005-07-08,"12:47:11"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,68,1,7096,5.99,2005-07-27,"04:54:42"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,69,2,7503,10.99,2005-07-27,"20:23:12"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,70,2,7703,7.99,2005-07-28,"03:59:21"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,71,2,7724,6.99,2005-07-28,"04:46:30"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,72,1,7911,4.99,2005-07-28,"11:46:45"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,73,2,8086,4.99,2005-07-28,"18:17:14"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,74,1,8545,2.99,2005-07-29,"11:07:04"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,75,1,9226,1.99,2005-07-30,"13:31:20"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,76,2,9443,3.99,2005-07-30,"21:45:46"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,77,1,9595,2.99,2005-07-31,"03:27:58"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,78,2,9816,4.99,2005-07-31,"11:32:58"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,79,2,10597,5.99,2005-08-01,"14:19:48"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,80,2,12556,4.99,2005-08-18,"14:49:55"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,81,1,13403,8.99,2005-08-19,"22:18:07"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,82,2,13610,2.99,2005-08-20,"06:14:12"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,83,2,14699,8.99,2005-08-21,"20:50:48"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,84,2,15038,0.99,2005-08-22,"09:37:27"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,85,1,15619,2.99,2005-08-23,"07:10:14"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,86,1,1297,4.99,2005-06-15,"09:31:28"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,87,1,1633,0.99,2005-06-16,"08:08:40"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,88,2,1707,2.99,2005-06-16,"14:01:27"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,89,2,1735,0.99,2005-06-16,"15:51:52"
